Week of,Weekly U.S. Field Production of Crude Oil Thousand Barrels per Day
9/26/1986,8671
9/19/1986,8671
9/12/1986,8671
9/5/1986,8671
8/29/1986,8708
8/22/1986,8708
8/15/1986,8708
8/8/1986,8708
8/1/1986,8737
7/25/1986,8737
7/18/1986,8737
7/11/1986,8737
7/4/1986,8737
6/27/1986,8792
6/20/1986,8792
6/13/1986,8792
6/6/1986,8792
5/30/1986,8805
5/23/1986,8805
5/16/1986,8805
5/9/1986,8805
5/2/1986,8805
4/25/1986,8815
4/18/1986,8815
4/11/1986,8815
4/4/1986,8815
3/28/1986,8939
3/21/1986,8939
3/14/1986,8939
3/7/1986,8939
2/28/1986,8939
2/21/1986,8940
2/14/1986,8940
2/7/1986,8940
1/31/1986,8942
1/24/1986,8942
1/17/1986,8942
1/10/1986,8942
1/3/1986,8942
12/27/1985,8930
12/20/1985,8930
12/13/1985,8930
12/6/1985,8930
11/29/1985,8932
11/22/1985,8932
11/15/1985,8932
11/8/1985,8932
11/1/1985,8932
10/25/1985,8943
10/18/1985,8943
10/11/1985,8943
10/4/1985,8943
9/27/1985,8874
9/20/1985,8874
9/13/1985,8874
9/6/1985,8874
8/30/1985,8895
8/23/1985,8895
8/16/1985,8895
8/9/1985,8895
8/2/1985,8895
7/26/1985,8904
7/19/1985,8904
7/12/1985,8904
7/5/1985,8904
6/28/1985,8965
6/21/1985,8965
6/14/1985,8965
6/7/1985,8965
5/31/1985,8969
5/24/1985,8969
5/17/1985,8969
5/10/1985,8969
5/3/1985,8969
4/26/1985,8842
4/19/1985,8842
4/12/1985,8842
4/5/1985,8842
3/29/1985,8927
3/22/1985,8927
3/15/1985,8927
3/8/1985,8927
3/1/1985,8927
2/22/1985,8928
2/15/1985,8928
2/8/1985,8928
2/1/1985,8928
1/25/1985,8929
1/18/1985,8929
1/11/1985,8929
1/4/1985,8929
12/28/1984,8797
12/21/1984,8797
12/14/1984,8797
12/7/1984,8797
11/30/1984,8846
11/23/1984,8846
11/16/1984,8846
11/9/1984,8846
11/2/1984,8846
10/26/1984,8847
10/19/1984,8847
10/12/1984,8847
10/5/1984,8847
9/28/1984,8759
9/21/1984,8759
9/14/1984,8759
9/7/1984,8759
8/31/1984,8781
8/24/1984,8781
8/17/1984,8781
8/10/1984,8781
8/3/1984,8781
7/27/1984,8769
7/20/1984,8769
7/13/1984,8769
7/6/1984,8769
6/29/1984,8743
6/22/1984,8743
6/15/1984,8743
6/8/1984,8743
6/1/1984,8743
5/25/1984,8753
5/18/1984,8753
5/11/1984,8753
5/4/1984,8753
4/27/1984,8688
4/20/1984,8688
4/13/1984,8688
4/6/1984,8688
3/30/1984,8718
3/23/1984,8718
3/16/1984,8718
3/9/1984,8718
3/2/1984,8718
2/24/1984,8726
2/17/1984,8726
2/10/1984,8726
2/3/1984,8726
1/27/1984,8659
1/20/1984,8659
1/13/1984,8659
1/6/1984,8659
12/30/1983,8612
12/23/1983,8612
12/16/1983,8612
12/9/1983,8612
12/2/1983,8612
11/25/1983,8624
11/18/1983,8624
11/11/1983,8624
11/4/1983,8624
10/28/1983,8654
10/21/1983,8654
10/14/1983,8654
10/7/1983,8654
9/30/1983,8666
9/23/1983,8666
9/16/1983,8666
9/9/1983,8666
9/2/1983,8666
8/26/1983,8653
8/19/1983,8653
8/12/1983,8653
8/5/1983,8653
7/29/1983,8647
7/22/1983,8647
7/15/1983,8647
7/8/1983,8647
7/1/1983,8676
6/24/1983,8676
6/17/1983,8676
6/10/1983,8676
6/3/1983,8676
5/20/1983,8682
5/13/1983,8682
4/29/1983,8686
4/15/1983,8686
4/8/1983,8686
4/1/1983,8677
3/25/1983,8677
3/18/1983,8677
3/11/1983,8677
3/4/1983,8677
2/25/1983,8660
2/18/1983,8660
2/11/1983,8660
2/4/1983,8660
1/28/1983,8634
1/21/1983,8634
1/14/1983,8634
1/7/1983,8634
